Date/Time;Serial number;GPS longitude [°];GPS latitude [°];Total working hours counter [h];Engine speed [rpm];Engine load [%];Fuel consumption [l/h];Ground speed gearbox [km/h];Ground speed radar [km/h];Coolant temperature [°C];Speed front PTO [rpm];Speed rear PTO [rpm];current gear shift [];Ambient temperature [°C];Parking brake status [];Transverse differential lock status [];All-wheel drive status [];Actual status of creeper []
Oct 17, 2019 7:36:57 AM;A2302888;20.1048871;46.0487806;1458.51;809;32;5.4;0;0;19;0;0;NA;12.19;1;0;Automatic;NA
Oct 17, 2019 7:37:07 AM;A2302888;20.1049138;46.0488003;1458.52;810;30;5;0;0;20;0;0;NA;12.19;1;0;Automatic;NA
Oct 17, 2019 7:37:17 AM;A2302888;20.1049201;46.0488074;1458.52;809;30;5.05;0;0;21;0;0;NA;12.09;1;0;Automatic;NA
Oct 17, 2019 7:37:27 AM;A2302888;20.104917;46.0488077;1458.52;809;30;5.05;0;0;21;0;0;NA;12.09;1;0;Automatic;NA
Oct 17, 2019 7:37:37 AM;A2302888;20.1049133;46.0487996;1458.52;809;30;4.85;0;0;22;0;0;NA;12.09;1;0;Automatic;NA
Oct 17, 2019 7:37:47 AM;A2302888;20.1048931;46.048779;1458.53;812;29;4.8;0;0;22;0;0;NA;12.09;1;0;Automatic;NA
Oct 17, 2019 7:37:57 AM;A2302888;20.1048761;46.0487651;1458.53;810;30;4.95;0;0;23;0;0;NA;12.09;1;0;Automatic;NA
Oct 17, 2019 7:38:07 AM;A2302888;20.1048726;46.0487702;1458.53;809;29;4.7;0;0;24;0;0;NA;12.09;1;0;Automatic;NA
Oct 17, 2019 7:38:17 AM;A2302888;20.1048727;46.0487777;1458.54;811;29;4.65;0;0;24;0;0;NA;12.09;1;0;Automatic;NA
Oct 17, 2019 7:38:27 AM;A2302888;20.1048702;46.0487797;1458.54;809;29;4.75;0;0;25;0;0;NA;12.09;1;0;Automatic;NA
Oct 17, 2019 7:38:37 AM;A2302888;20.1048691;46.0487754;1458.54;809;29;4.7;0;0;25;0;0;NA;12.19;1;0;Automatic;NA
